film_a,film_b,winner,timestamp
https://boxd.it/2a9q,https://boxd.it/27B2,https://boxd.it/2a9q,2026-09-11T11:49:20.811123
https://boxd.it/tNWU,https://boxd.it/kmvE,https://boxd.it/tNWU,2026-09-11T11:50:48.391113
https://boxd.it/29FU,https://boxd.it/2Bsu,https://boxd.it/2Bsu,2026-09-11T11:50:51.522675
https://boxd.it/tNWU,https://boxd.it/bCLK,https://boxd.it/bCLK,2026-09-11T11:50:52.936235
https://boxd.it/woVy,https://boxd.it/QFQU,https://boxd.it/woVy,2026-09-11T11:50:57.086820
https://boxd.it/leq4,https://boxd.it/2auI,https://boxd.it/2auI,2026-09-11T11:50:59.297177
https://boxd.it/2a9q,https://boxd.it/eDGs,https://boxd.it/2a9q,2026-09-11T11:51:04.230643
https://boxd.it/29JC,https://boxd.it/leq4,https://boxd.it/29JC,2026-09-11T11:51:07.047354
https://boxd.it/Sw0,https://boxd.it/tNWU,https://boxd.it/tNWU,2026-09-11T11:51:10.800993
https://boxd.it/dGNE,https://boxd.it/297o,https://boxd.it/dGNE,2026-09-11T11:51:12.171680
https://boxd.it/jhxe,https://boxd.it/xTmc,https://boxd.it/jhxe,2026-09-11T11:51:14.257066
https://boxd.it/eOCm,https://boxd.it/2auI,https://boxd.it/eOCm,2026-09-11T11:51:56.409793
https://boxd.it/dGNE,https://boxd.it/fAnE,https://boxd.it/fAnE,2026-09-11T11:51:59.102722
https://boxd.it/pEeQ,https://boxd.it/2uds,https://boxd.it/2uds,2026-09-11T11:52:02.359262
https://boxd.it/1RYk,https://boxd.it/xTmc,https://boxd.it/1RYk,2026-09-11T11:52:04.575432
https://boxd.it/jhxe,https://boxd.it/2b0k,https://boxd.it/2b0k,2026-09-11T11:52:07.060741
https://boxd.it/29Qy,https://boxd.it/2Bsu,https://boxd.it/2Bsu,2026-09-11T11:52:09.317061
https://boxd.it/eDGs,https://boxd.it/woVy,https://boxd.it/woVy,2026-09-11T11:52:11.472101
https://boxd.it/29JC,https://boxd.it/2a9q,https://boxd.it/29JC,2026-09-11T11:52:13.562190
https://boxd.it/29Qo,https://boxd.it/7bQA,https://boxd.it/7bQA,2026-09-11T11:54:51.315386
https://boxd.it/Sw0,https://boxd.it/2aeU,https://boxd.it/2aeU,2026-09-11T11:54:54.240205
https://boxd.it/2a1G,https://boxd.it/29FU,https://boxd.it/29FU,2026-09-11T11:54:56.697460
https://boxd.it/azpY,https://boxd.it/2aHW,https://boxd.it/2aHW,2026-09-11T11:54:58.679606
https://boxd.it/2a9q,https://boxd.it/eOCm,https://boxd.it/eOCm,2026-09-11T11:55:03.148416
https://boxd.it/27B2,https://boxd.it/eDGs,https://boxd.it/eDGs,2026-09-11T11:55:09.332254
https://boxd.it/3C1m,https://boxd.it/2auI,https://boxd.it/3C1m,2026-09-11T11:55:10.967936
https://boxd.it/eDGs,https://boxd.it/3C1m,https://boxd.it/eDGs,2026-09-11T11:55:12.596014
https://boxd.it/dGNE,https://boxd.it/1RYk,https://boxd.it/dGNE,2026-09-11T11:55:18.066659
https://boxd.it/QFQU,https://boxd.it/2auI,https://boxd.it/QFQU,2026-09-11T11:55:57.099470
